Memory,Read,W1.writes,W2.writes,W3.writes,W1.pushes,W2.pushes
31879168,,,,,,
35823616,4915200,4915200,4915200,4915200,4915200,4915200
41660416,9895936,9895936,9895936,9895936,9895936,9895936
42467328,17563648,17563648,17563648,17563648,17563648,17563648
43446272,22347776,22347776,22347776,22347776,22347776,22347776
44728320,28049408,28049408,28049408,28049408,28049408,28049408
46276608,32571392,32571392,32571392,32571392,32571392,32571392
45907968,38141952,38141952,38141952,38141952,38141952,38141952
46219264,43843584,43843584,43843584,43843584,43843584,43843584
47124480,50200576,50200576,50200576,50200576,50200576,50200576
47390720,57147392,57147392,57147392,57147392,57147392,57147392
48037888,63963136,63963136,63963136,63963136,63963136,63963136
48308224,70254592,70254592,70254592,70254592,70254592,70254592
48984064,75759616,75759616,75759616,75759616,75759616,75759616
49438720,81526784,81526784,81526784,81526784,81526784,81526784
49590272,86310912,86310912,86310912,86310912,86310912,86310912
49590272,90505216,90505216,90505216,90505216,90505216,90505216
50401280,95551488,95551488,95551488,95551488,95551488,95551488
50401280,100139008,100139008,100139008,100139008,100139008,100139008
50401280,105054208,105054208,105054208,105054208,105054208,105054208
51208192,108724224,108724224,108724224,108724224,108724224,108724224
51748864,114884608,114884608,114884608,114884608,114884608,114884608
51748864,120717312,120717312,120717312,120717312,120717312,120717312
52019200,124256256,124256256,124256256,124256256,124256256,124256256
52830208,128843776,128843776,128843776,128843776,128843776,128843776
53100544,133627904,133627904,133627904,133627904,133627904,133627904
53178368,137560064,137560064,137560064,137560064,137560064,137560064
53178368,141819904,141819904,141819904,141819904,141819904,141819904
53944320,145227776,145227776,145227776,145227776,145227776,145227776
54484992,148832256,148832256,148832256,148832256,148832256,148832256
54599680,153485312,153485312,153485312,153485312,153485312,153485312
55140352,158728192,158728192,158728192,158728192,158728192,158728192
55304192,163905536,163905536,163905536,163905536,163905536,163905536
55844864,169541632,169541632,169541632,169541632,169541632,169541632
56107008,173604864,173604864,173604864,173604864,173604864,173604864
56107008,178716672,178716672,178716672,178716672,178716672,178716672
57032704,183304192,183304192,183304192,183304192,183304192,183304192
57565184,187236352,187236352,187236352,187236352,187236352,187236352
57577472,193134592,193134592,193134592,193134592,193134592,193134592
57966592,197722112,197722112,197722112,197722112,197722112,197722112
58507264,203685888,203685888,203685888,203685888,203685888,203685888
58777600,209518592,209518592,209518592,209518592,209518592,209518592
59043840,215482368,215482368,215482368,215482368,215482368,215482368
59584512,221642752,221642752,221642752,221642752,221642752,221642752
60125184,227082240,227082240,227082240,227082240,227082240,227082240
60125184,231211008,231211008,231211008,231211008,231211008,231211008
60313600,236453888,236453888,236453888,236453888,236453888,236453888
61607936,242352128,242352128,242352128,242352128,242352128,242352128
61726720,248250368,248250368,248250368,248250368,248250368,248250368
62267392,254148608,254148608,254148608,254148608,254148608,254148608
62808064,260046848,260046848,260046848,260046848,260046848,260046848
62808064,265814016,265814016,265814016,265814016,265814016,265814016
63074304,269942784,269942784,269942784,269942784,269942784,269942784
63115264,275709952,275709952,275709952,275709952,275709952,275709952
63926272,281083904,281083904,281083904,281083904,281083904,281083904
64081920,286130176,286130176,286130176,286130176,286130176,286130176
65163264,291897344,291897344,291897344,291897344,291897344,291897344
65429504,297271296,297271296,297271296,297271296,297271296,297271296
65478656,302972928,302972928,302972928,302972928,302972928,302972928
66289664,309264384,309264384,309264384,309264384,309264384,309264384
66449408,314966016,314966016,314966016,314966016,314966016,314966016
66748416,320929792,320929792,320929792,320929792,320929792,320929792
67289088,326893568,326893568,326893568,326893568,326893568,326893568
67821568,332660736,332660736,332660736,332660736,332660736,332660736
68149248,338493440,338493440,338493440,338493440,338493440,338493440
68689920,343212032,343212032,343212032,343212032,343212032,343212032
68960256,347340800,347340800,347340800,347340800,347340800,347340800
69185536,352911360,352911360,352911360,352911360,352911360,352911360
69455872,357171200,357171200,357171200,357171200,357171200,357171200
70139904,362414080,362414080,362414080,362414080,362414080,362414080
70410240,368443392,368443392,368443392,368443392,368443392,368443392
70680576,374341632,374341632,374341632,374341632,374341632,374341632
71217152,379650048,379650048,379650048,379650048,379650048,379650048
71757824,384303104,384303104,384303104,384303104,384303104,384303104
71757824,385810432,385810432,385810432,385810432,385810432,385810432
71757824,387317760,387317760,387317760,387317760,387317760,387317760
72028160,391708672,391708672,391708672,391708672,391708672,391708672
72568832,397672448,397672448,397672448,397672448,397672448,397672448
73105408,403243008,403243008,403243008,403243008,403243008,403243008
73105408,408092672,408092672,408092672,408092672,408092672,408092672
73916416,413335552,413335552,413335552,413335552,413335552,413335552
74133504,418709504,418709504,418709504,418709504,418709504,418709504
74403840,424345600,424345600,424345600,424345600,424345600,424345600
74821632,430440448,430440448,430440448,430440448,430440448,430440448
75091968,436404224,436404224,436404224,436404224,436404224,436404224
75362304,440598528,440598528,440598528,440598528,440598528,440598528
75898880,446627840,446627840,446627840,446627840,446627840,446627840
76709888,452395008,452395008,452395008,452395008,452395008,452395008
76849152,457965568,457965568,457965568,457965568,457965568,457965568
77389824,463470592,463470592,463470592,463470592,463470592,463470592
77930496,468910080,468910080,468910080,468910080,468910080,468910080
78192640,473825280,473825280,473825280,473825280,473825280,473825280
78192640,479461376,479461376,479461376,479461376,479461376,479461376
78733312,485490688,485490688,485490688,485490688,485490688,485490688
79060992,491388928,491388928,491388928,491388928,491388928,491388928
80277504,497287168,497287168,497287168,497287168,497287168,497287168
80547840,503054336,503054336,503054336,503054336,503054336,503054336
80547840,508887040,508887040,508887040,508887040,508887040,508887040
80547840,514654208,514654208,514654208,514654208,514654208,514654208
81895424,520355840,520355840,520355840,520355840,520355840,520355840
81895424,525533184,525533184,525533184,525533184,525533184,525533184
81997824,530972672,530972672,530972672,530972672,530972672,530972672
82808832,536805376,536805376,536805376,536805376,536805376,536805376
83021824,536870912,536870912,536870912,536870912,536870912,536870912
